1497071,12/14/21 9:23,12/30/21 11:59,
1497003,12/14/21 8:41,12/28/21 10:50,
1497001,12/14/21 8:40,12/28/21 10:51,
1478471,12/1/21 15:00,12/17/21 9:54,5
1474570,11/30/21 10:16,12/28/21 15:08,8
1474568,11/30/21 10:16,12/28/21 15:09,8
1474563,11/30/21 10:15,12/28/21 15:09,8
1474560,11/30/21 10:14,12/28/21 15:10,5
1473870,11/29/21 16:50,12/14/21 14:03,5
1465153,11/19/21 14:38,12/7/21 11:04,8
1464590,11/19/21 11:09,12/16/21 13:47,13
1464548,11/19/21 10:43,12/28/21 15:08,13
1461549,11/17/21 14:18,12/17/21 14:17,8
1458933,11/16/21 11:37,12/28/21 15:10,8
1458418,11/16/21 8:52,11/24/21 10:01,3
1444571,11/4/21 11:24,11/16/21 12:42,5
1444407,11/4/21 10:40,11/29/21 12:23,
1431647,10/27/21 13:44,11/22/21 14:04,5
1429831,10/26/21 13:10,11/24/21 11:41,3
1429730,10/26/21 12:40,11/16/21 14:50,8
1429722,10/26/21 12:39,11/15/21 10:49,5
1429716,10/26/21 12:37,12/16/21 15:55,5
1422774,10/21/21 10:28,12/3/21 9:22,8
1414937,10/15/21 11:40,10/22/21 12:12,5
1414886,10/15/21 11:14,12/6/21 19:51,13
1414838,10/15/21 11:00,10/27/21 11:39,8
1403633,10/7/21 10:47,12/3/21 14:16,8
1394502,10/1/21 12:28,12/29/21 11:45,
1394481,10/1/21 12:24,11/24/21 16:39,
1388168,9/28/21 11:40,11/30/21 14:45,
1385603,9/27/21 11:10,10/13/21 12:45,
1385472,9/27/21 10:52,10/8/21 15:30,
1385345,9/27/21 10:14,10/6/21 9:53,5
1385339,9/27/21 10:12,10/6/21 9:56,
1379437,9/22/21 13:34,10/6/21 9:55,
1361278,9/10/21 9:31,12/3/21 10:08,13
1361269,9/10/21 9:27,10/25/21 15:41,8
1361266,9/10/21 9:26,10/14/21 16:17,
1360127,9/9/21 14:19,9/16/21 11:20,3
1360114,9/9/21 14:14,9/21/21 9:15,3
1324509,8/20/21 9:51,9/8/21 11:42,8
1306671,8/12/21 11:41,10/7/21 15:56,5
1306458,8/12/21 11:27,9/9/21 11:03,5
1305741,8/12/21 10:13,8/27/21 15:59,8
1284945,8/6/21 16:35,9/10/21 16:08,8
1283457,8/6/21 8:52,10/5/21 11:28,5
1277584,8/4/21 13:40,8/25/21 15:04,
1272152,8/2/21 16:51,9/1/21 10:32,8
1272143,8/2/21 16:48,9/10/21 15:22,13
1270097,8/2/21 11:14,8/4/21 11:28,8
1260579,7/27/21 11:37,8/25/21 17:06,
1260569,7/27/21 11:32,9/10/21 12:21,
1260544,7/27/21 11:22,8/25/21 10:35,8
1260501,7/27/21 11:10,8/23/21 16:46,8
1260460,7/27/21 11:00,8/24/21 9:14,
1260429,7/27/21 10:44,9/15/21 14:59,8
1255010,7/23/21 12:11,7/28/21 11:29,
1254999,7/23/21 12:06,7/28/21 11:10,
1253896,7/22/21 15:00,8/10/21 16:03,5
1252442,7/22/21 10:14,7/27/21 10:15,3
1245584,7/19/21 15:55,8/4/21 14:00,8
1245570,7/19/21 15:50,7/27/21 10:15,
1244722,7/19/21 13:00,7/27/21 16:57,
1244110,7/19/21 9:57,9/15/21 15:29,3
1244080,7/19/21 9:49,9/21/21 14:18,3
1239406,7/15/21 18:42,7/16/21 15:35,
1232899,7/13/21 13:53,7/13/21 13:59,
1230520,7/12/21 16:11,7/16/21 15:33,
1230434,7/12/21 15:37,7/16/21 15:31,
1229337,7/12/21 9:48,7/14/21 16:41,
1225234,7/8/21 15:27,9/2/21 12:47,
1225192,7/8/21 15:09,7/29/21 11:24,
1224936,7/8/21 13:28,7/30/21 17:42,
1214247,7/1/21 11:37,7/14/21 16:42,
1212006,6/30/21 8:42,7/8/21 15:20,
1203722,6/23/21 13:49,8/6/21 10:13,8
1195273,6/17/21 13:14,7/8/21 15:52,
1177816,6/14/21 16:51,6/18/21 13:35,8
1175528,6/11/21 15:20,7/14/21 14:29,
1175521,6/11/21 15:18,7/8/21 16:42,
1169802,6/9/21 12:43,7/8/21 15:50,
1164459,6/4/21 16:06,7/8/21 12:06,
1158476,6/2/21 16:07,6/14/21 8:25,8
1149748,5/28/21 15:31,7/12/21 16:44,
1149201,5/28/21 15:23,7/15/21 8:09,
1147657,5/28/21 13:53,6/3/21 14:47,
1133285,5/21/21 11:28,6/4/21 14:31,3
1127918,5/18/21 10:10,6/8/21 10:33,8
1124463,5/13/21 15:45,6/4/21 12:08,3
1124456,5/13/21 15:43,6/3/21 21:05,8
1123076,5/12/21 16:30,6/16/21 9:41,3
1101877,5/4/21 8:52,5/21/21 14:05,8
1084904,4/22/21 9:32,4/29/21 16:01,5
1062281,4/9/21 16:02,7/2/21 15:56,8
1062277,4/9/21 16:00,6/29/21 13:52,13
1062202,4/9/21 15:25,6/7/21 16:15,8
1062198,4/9/21 15:23,5/7/21 12:31,20
1062194,4/9/21 15:21,5/21/21 16:43,20
1062129,4/9/21 14:58,6/28/21 13:42,13
1062127,4/9/21 14:57,6/18/21 17:21,8
1062123,4/9/21 14:56,5/4/21 14:22,8
1061340,4/9/21 9:21,4/15/21 15:11,5
1034049,3/26/21 13:50,4/22/21 10:33,8
1034020,3/26/21 13:46,4/22/21 12:35,5
1003323,3/1/21 16:30,4/8/21 14:19,13
1003321,3/1/21 16:29,3/26/21 15:10,8
976188,2/4/21 12:17,3/11/21 23:59,8
443209,7/27/20 13:33,6/4/21 16:59,5
